"","date","total_cases","new_cases","total_deaths","new_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases"
"88",2020-04-18,725185,27739,37285,1239,0.89376852687202,0.0514144666533367,0.993684877761395,29603
"89",2020-04-19,750204,25019,40196,2911,0.901943112585169,0.0535800928814029,1.00568431814563,29624.5
"90",2020-04-20,776797,26593,42031,1835,1.06291218673808,0.0541080874411204,0.995307448287319,29390.8571428571
"91",2020-04-21,802279,25482,44720,2689,0.958222088519535,0.0557412072358868,0.991206343401234,29044.5
"92",2020-04-22,831052,28773,46720,2000,1.12914998822698,0.056217902128868,0.995153856537046,28773.1428571429
"93",2020-04-23,862710,31658,48500,1780,1.10026761199736,0.0562181961493433,0.999519825243687,28616.7857142857
"94",2020-04-24,900110,37400,51097,2597,1.18137595552467,0.0567675061936874,1.01399047249802,28921.8571428571
"95",2020-04-25,934074,33964,53095,1998,0.908128342245989,0.0568423915021722,1.01161099454876,29120.0714285714
"96",2020-04-26,959553,25479,54106,1011,0.750176657637499,0.056386671710682,1.00284934271881,28995.5
"97",2020-04-27,982321,22768,55475,1369,0.893598649868519,0.0564733931169139,1.00133128825165,28842.8571428571
"98",2020-04-28,1006425,24104,57778,2303,1.05867884750527,0.0574091462354373,1.00407140554629,28749.5
"99",2020-04-29,1034348,27923,60269,2491,1.15843843345503,0.0582676236624424,1.00241880018563,28599.3571428571
"100",2020-04-30,1063323,28975,62350,2081,1.03767503491745,0.0586369334623628,0.999333735176463,28350.9285714286
"101",2020-05-01,1096366,33043,64041,1691,1.14039689387403,0.0584120631249054,1.01248088071197,28494.2857142857
"102",2020-05-02,1126338,29972,65574,1533,0.907060496928245,0.0582187584899027,1.01343030714456,28653.7857142857
"103",2020-05-03,1151507,25169,66950,1376,0.839750433738156,0.0581412010521864,1.0089879729412,28664.5
"104",2020-05-04,1173161,21654,67904,954,0.860344074059359,0.0578812285781747,0.994518822035578,28311.7142857143
"105",2020-05-05,1197391,24230,70335,2431,1.1189618546227,0.0587402110087682,1.00600023390009,28222.2857142857
"106",2020-05-06,1221055,23664,72975,2640,0.976640528270739,0.0597638926993461,0.995106701046073,27857.3571428571
"107",2020-05-07,1248545,27490,74960,1985,1.16168018931711,0.060037884097089,0.999493313711769,27559.6428571429
"108",2020-05-08,1275926,27381,76578,1618,0.996034921789742,0.0600175872268454,0.986254668444988,26844
"109",2020-05-09,1301512,25586,78066,1488,0.934443592272013,0.0599810067060465,0.988134329161133,26245.5714285714
"110",2020-05-10,1321653,20141,78824,758,0.787188306104901,0.0596404653869056,0.990778018337376,25864.2857142857
"111",2020-05-11,1339424,17771,79702,878,0.882329576485775,0.0595046826098383,0.989973084524323,25507.3571428571
"112",2020-05-12,1360933,21509,81307,1605,1.21034269315176,0.0597435729753044,1.00080621635622,25322
"113",2020-05-13,1381559,20626,82959,1652,0.958947417360175,0.0600473812555236,0.986556858063726,24800.7857142857
"114",2020-05-14,1408425,26866,84716,1757,1.30253078638611,0.0601494577276035,1.00547512602577,24650.1428571429
"115",2020-05-15,1433360,24935,86170,1454,0.928124767363954,0.0601174861863035,0.990312831275053,24071
"116",2020-05-16,1457901,24541,87249,1079,0.98419891718468,0.0598456273779907,0.995822718436227,23683.0714285714
"117",2020-05-17,1476464,18563,87888,639,0.756407644350271,0.0595260026658286,0.989869662051378,23211.2142857143
"118",2020-05-18,1498197,21733,88700,812,1.17076981091418,0.0592044971388943,1.01204292896958,23216.8571428571
