"","date","total_cases","new_cases","total_deaths","new_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases","MA_new_deaths","gf_14"
"90",2020-04-20,776792,26593,41410,1821,1.06291218673808,0.0533089939134286,0.995309166209068,29390.5714285714,2069.42857142857,0.992115504246054
"91",2020-04-21,802274,25482,44173,2763,0.958222088519535,0.055059742681428,0.991205632044619,29044.2142857143,2112,0.98821536547192
"92",2020-04-22,831047,28773,46204,2031,1.12914998822698,0.055597336853391,0.995153145180432,28772.8571428571,2108.28571428571,0.99065710161109
"93",2020-04-23,862705,31658,48029,1825,1.10026761199736,0.0556725647817041,0.999519113887073,28616.5,2098.07142857143,0.994565811032223
"94",2020-04-24,900105,37400,50720,2691,1.18137595552467,0.056348981507713,1.01398976114141,28921.5714285714,2111.28571428571,1.01066068277293
"95",2020-04-25,934069,33964,52675,1955,0.908128342245989,0.0563930501922235,1.01161028319215,29119.7857142857,2125.42857142857,1.00685351023211
"96",2020-04-26,959548,25479,53806,1131,0.750176657637499,0.056074318324878,1.00285092154692,28995.2857142857,2086.35714285714,0.995724556450327
"97",2020-04-27,982316,22768,55191,1385,0.893598649868519,0.056184567898721,1.00133046657542,28842.6428571429,2104.64285714286,0.994735597412387
"98",2020-04-28,1006420,24104,57439,2248,1.05867884750527,0.0570725939468611,1.00407058387005,28749.2857142857,2039.21428571429,0.996763225085872
"99",2020-04-29,1034343,27923,60031,2592,1.15843843345503,0.05803780757447,1.00241797850939,28599.1428571429,2048.35714285714,0.994777510000248
"100",2020-04-30,1063317,28974,62149,2118,1.03763922214662,0.0584482332173754,0.999337492354882,28350.8571428571,2036.85714285714,0.991318421131502
"101",2020-05-01,1096359,33042,63962,1813,1.14040173949058,0.0583403793830306,1.01247866877238,28494.1428571429,2029.92857142857,1.00505401701133
"102",2020-05-02,1126331,29972,65475,1513,0.907087948671388,0.0581312243026251,1.01343005604376,28653.6428571429,2029.71428571429,1.00559764162058
"103",2020-05-03,1151500,25169,66848,1373,0.839750433738156,0.0580529743812419,1.00898772184041,28664.3571428571,1947.07142857143,1.00037392403359
"104",2020-05-04,1173154,21654,67838,990,0.860344074059359,0.0578253153464933,0.994518570934782,28311.5714285714,1887.71428571429,0.987692530046025
"105",2020-05-05,1197383,24229,70295,2457,1.11891567377852,0.0587071972794002,1.00599668416757,28222.0714285714,1865.85714285714,0.996838748416851
"106",2020-05-06,1221046,23663,72897,2602,0.976639564158653,0.0597004535455667,0.9951030824484,27857.0714285714,1906.64285714286,0.987066860031029
"107",2020-05-07,1248536,27490,74927,2030,1.16172928200144,0.0600118859207904,0.999493201734406,27559.3571428571,1921.28571428571,0.989312793109726
"108",2020-05-08,1275917,27381,76585,1658,0.996034921789742,0.0600234968262042,0.986254556467625,26843.7142857143,1847.5,0.974032672335815
"109",2020-05-09,1301501,25584,78063,1478,0.934370548920785,0.0599792086214302,0.988128999801539,26245.1428571429,1813.42857142857,0.97770161676583
"110",2020-05-10,1321625,20124,78904,841,0.786585365853659,0.0597022604747943,0.990729621816979,25862.6428571429,1792.71428571429,0.985425874719676
"111",2020-05-11,1339390,17765,79830,926,0.882776783939575,0.0596017590096984,0.989956631393483,25505.2857142857,1759.92857142857,0.98618249709316
"112",2020-05-12,1360896,21506,81470,1640,1.21058260624824,0.0598649713130173,1.00080689987512,25319.7142857143,1716.5,0.992724197225225
"113",2020-05-13,1381512,20616,83150,1680,0.958616200130196,0.0601876784276937,0.986533883209064,24797.7857142857,1651.35714285714,0.979386474683759
"114",2020-05-14,1408311,26799,84922,1772,1.29991268917346,0.0603006012166347,1.00526770228241,24642.4285714286,1626.64285714286,0.993735039706886
"115",2020-05-15,1433217,24906,86380,1458,0.929363035934177,0.0602700079611113,0.990193509171238,24061.2857142857,1601.28571428571,0.97641698116489
"116",2020-05-16,1457729,24512,87461,1081,0.984180518750502,0.059998120363936,0.995700121319747,23671.2857142857,1570.42857142857,0.983791389843792
"117",2020-05-17,1476247,18518,88223,762,0.755466710182768,0.0597616794479515,0.989679855351505,23196.2142857143,1526.78571428571,0.979930476345663
"118",2020-05-18,1497868,21621,89241,1018,1.16756669186737,0.0595786811654966,1.01162432805208,23193.8571428571,1528.78571428571,0.999898382433094
"119",2020-05-19,1518475,20607,90777,1536,0.95310115165811,0.0597816888654736,0.999780433614905,22935.1428571429,1463,0.988845568715855
"120",2020-05-20,1540545,22070,92273,1496,1.07099529286165,0.0598963353878011,1.00652012852226,22821.3571428571,1384,0.995038805077672
"121",2020-05-21,1566500,25955,93605,1332,1.17603081105573,0.0597542291733163,1.00754166631185,22711.7142857143,1334.14285714286,0.995195603116129
"122",2020-05-22,1589857,23357,94804,1199,0.899903679445194,0.0596305202291778,1.00067514900153,22424.2857142857,1301.35714285714,0.987344479249223
"123",2020-05-23,1612144,22287,95906,1102,0.954189322258852,0.0594897230024117,1.00209077566853,22188.7857142857,1274.5,0.989497993247117
"124",2020-05-24,1632795,20651,96545,639,0.926593978552519,0.0591286720010779,1.01209139086131,22226.4285714286,1260.07142857143,1.0016964811697
"125",2020-05-25,1651871,19076,97258,713,0.923732506900392,0.0588774789314662,1.01501679964423,22320.0714285714,1244.85714285714,1.0042131310859
"126",2020-05-26,1669910,18039,97902,644,0.945638498637031,0.0586271116407471,0.996092220529139,22072.4285714286,1173.71428571429,0.988904925419466
"127",2020-05-27,1690020,20110,99336,1434,1.1148068074727,0.0587780026271878,1.00724869248218,22036.2857142857,1156.14285714286,0.998362533736336
